alert_id,type,times,url,summary,description,alert_last_updated,feed_last_updated
40,OTHER,"[{""start"": 1762405200, ""end"": 1762491540}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761922126,1774663795
41,OTHER,"[{""start"": 1762491600, ""end"": 1762577940}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761922228,1774663795
42,OTHER,"[{""start"": 1762578000, ""end"": 1762664340}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761922903,1774663795
43,OTHER,"[{""start"": 1762664400, ""end"": 1762750740}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761922965,1774663795
44,OTHER,"[{""start"": 1762750800, ""end"": 1762837140}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761923087,1774663795
45,OTHER,"[{""start"": 1762837200, ""end"": 1762923540}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761923338,1774663795
46,OTHER,"[{""start"": 1762923600, ""end"": 1763009940}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761923393,1774663795
47,OTHER,"[{""start"": 1763010000, ""end"": 1763096340}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761923487,1774663795
48,OTHER,"[{""start"": 1763096400, ""end"": 1763182740}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761923631,1774663795
49,OTHER,"[{""start"": 1763182800, ""end"": 1763269140}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761923807,1774663795
50,OTHER,"[{""start"": 1763269200, ""end"": 1763355540}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761923850,1774663795
52,SYSTEM_CLOSURE,"[{""start"": 1767019080, ""end"": 1767114000}]",,Information,The rapid accumulation of ice may make travel more difficult. Caution and vigilance are required during outings for all year-round cyclists. The BIXI network remains open for essential trips.,1767019167,1774663795
53,OTHER,"[{""start"": 1773201600, ""end"": 1773374340}]",,Information,The icy conditions will make travel more difficult. Caution and vigilance are required during outings for all year-round cyclists. The BIXI network remains open.,1773180979,1774663795
54,SYSTEM_CLOSURE,"[{""start"": 1774012740, ""end"": 1774238400}]",,Good news — more BIXIs are coming !,New stations are popping up every day across the network. Regular bikes are also being added to the winter fleet (studded tires): choose the one that suits the conditions. Open the BIXI app every day to follow the progress and plan your rides! ,1774272182,1774663795
55,SYSTEM_CLOSURE,"[{""start"": 1774272240, ""end"": 1774620000}]",,Good news — more BIXIs are coming !,New stations are popping up every day across the network. Regular bikes are also being added to the winter fleet (studded tires): choose the one that suits the conditions. Open the BIXI app every day to follow the progress and plan your rides!,1774272287,1774663795
56,SYSTEM_CLOSURE,"[{""start"": 1774621620, ""end"": 1774879200}]",,Good news — more BIXIs are coming !,New stations are popping up every day across the network. Regular bikes are also being added to the winter fleet (studded tires): choose the one that suits the conditions. Open the BIXI app every day to follow the progress and plan your rides!,1774621684,1774663795
